user_id,variant,basket_value
1001,control,25.50
1002,test,35.75
1003,control,15.00
1004,test,52.20
1005,control,10.00
1006,test,41.90
1007,control,30.15
1008,test,28.80
1009,control,45.00
1010,test,18.50
1011,control,12.75
1012,test,60.00
1013,control,22.00
1014,test,29.99
1015,control,17.50
1016,test,38.25
1017,control,29.99
1018,test,20.50
1019,control,32.00
1020,test,55.10
1021,control,18.00
1022,test,42.50
1023,control,25.00
1024,test,33.00
1025,control,11.50
1026,test,48.00
1027,control,31.25
1028,test,27.50
1029,control,46.50
1030,test,19.00
1031,control,13.25
1032,test,62.00
1033,control,23.50
1034,test,31.50
1035,control,18.75
1036,test,39.50
1037,control,30.00
1038,test,21.00
1039,control,33.00
1040,test,57.50
1041,control,19.50
1042,test,44.00
1043,control,26.00
1044,test,34.50
1045,control,12.00
1046,test,49.50
1047,control,32.50
1048,test,28.00
1049,control,48.00
1050,test,20.00
1051,control,14.50
1052,test,64.00
1053,control,24.00
1054,test,32.00
1055,control,19.00
1056,test,40.50
1057,control,31.00
1058,test,22.00
1059,control,34.00
1060,test,59.00
1061,control,20.50
1062,test,45.50
1063,control,27.00
1064,test,36.00
1065,control,12.50
1066,test,51.00
1067,control,33.50
1068,test,29.00
1069,control,49.50
1070,test,21.00
1071,control,15.00
1072,test,66.00
1073,control,24.50
1074,test,33.00
1075,control,19.50
1076,test,41.50
1077,control,32.00
1078,test,23.00
1079,control,35.00
1080,test,61.00
1081,control,21.50
1082,test,47.00
1083,control,28.00
1084,test,37.50
1085,control,13.00
1086,test,52.50
1087,control,34.50
1088,test,30.00
1089,control,51.00
1090,test,22.00
1091,control,15.50
1092,test,68.00
1093,control,25.00
1094,test,34.00
1095,control,20.00
1096,test,42.50
1097,control,33.00
1098,test,24.00
1099,control,36.00
1100,test,63.00
1101,control,22.50
1102,test,48.50
1103,control,29.00
1104,test,39.00
1105,control,13.50
1106,test,54.00
1107,control,35.50
1108,test,31.00
1109,control,52.50
1110,test,23.00
1111,control,16.00
1112,test,70.00
1113,control,25.50
1114,test,35.00
1115,control,20.50
1116,test,43.50
1117,control,34.00
1118,test,25.00
1119,control,37.00
1120,test,65.00
1121,control,23.50
1122,test,50.00
1123,control,30.00
1124,test,40.50
1125,control,14.00
1126,test,55.50
1127,control,36.50
1128,test,32.00
1129,control,54.00
1130,test,24.00
1131,control,16.50
1132,test,72.00
1133,control,26.00
1134,test,36.00
1135,control,21.00
1136,test,44.50
1137,control,35.00
1138,test,26.00
1139,control,38.00
1140,test,67.00
1141,control,24.50
1142,test,51.50
1143,control,31.00
1144,test,42.00
1145,control,14.50
1146,test,57.00
1147,control,37.50
1148,test,33.00
1149,control,55.50
1150,test,25.00
1151,control,17.00
1152,test,74.00
1153,control,26.50
1154,test,37.00
1155,control,21.50
1156,test,45.50
1157,control,36.00
1158,test,27.00
1159,control,39.00
1160,test,69.00
1161,control,25.50
1162,test,53.00
1163,control,32.00
1164,test,43.50
1165,control,15.00
1166,test,58.50
1167,control,38.50
1168,test,34.00
1169,control,57.00
1170,test,26.00
1171,control,17.50
1172,test,76.00
1173,control,27.00
1174,test,38.00
1175,control,22.00
1176,test,46.50
1177,control,37.00
1178,test,28.00
1179,control,40.00
1180,test,71.00
1181,control,26.50
1182,test,54.50
1183,control,33.00
1184,test,45.00
1185,control,15.50
1186,test,60.00
1187,control,39.50
1188,test,35.00
1189,control,58.50
1190,test,27.00
1191,control,18.00
1192,test,78.00
1193,control,27.50
1194,test,39.00
1195,control,22.50
1196,test,47.50
1197,control,38.00
1198,test,29.00
1199,control,41.00
1200,test,73.00
1201,control,27.50
1202,test,56.00
1203,control,34.00
1204,test,46.50
1205,control,16.00
1206,test,61.50
1207,control,40.50
1208,test,36.00
1209,control,60.00
1210,test,28.00
1211,control,18.50
1212,test,80.00
1213,control,28.00
1214,test,40.00
1215,control,23.00
1216,test,48.50
1217,control,39.00
1218,test,30.00
1219,control,42.00
1220,test,75.00
1221,control,28.50
1222,test,57.50
1223,control,35.00
1224,test,48.00
1225,control,16.50
1226,test,63.00
1227,control,41.50
1228,test,37.00
1229,control,61.50
1230,test,29.00
1231,control,19.00
1232,test,82.00
1233,control,28.50
1234,test,41.00
1235,control,23.50
1236,test,49.50
1237,control,40.00
1238,test,31.00
