"sale_id","sale_date","customer_id","product_id","quantity","unit_price","discount","sales_rep_id","region_id","sales_sum"
S00001,2023-01-20,C004,P004,5,56.81,0.1,SR02,R03,255.645005756542
S00002,2023-12-30,C001,P005,7,98.78,0.15,SR01,R01,587.740988615394
S00003,2022-05-10,C001,P006,3,97.12,0.15,SR01,R01,247.656005267143
S00004,2023-07-18,C003,P002,9,47.33,0.05,SR01,R01,404.671515338145
S00005,2023-02-04,C004,P001,4,71.67,0.15,SR02,R03,243.677992065668
S00006,2022-12-31,C002,P003,2,34.08,0.0,SR03,R01,68.1600036621094
S00007,2024-09-20,C005,P004,3,23.74,0.0,SR02,R01,71.2199993133545
S00008,2022-11-10,C005,P002,5,79.16,0.15,SR01,R03,336.430013204813
S00009,2024-06-26,C003,P005,300,49.26,0.05,SR01,R02,14039.0995106265
S00010,2020-05-01,C002,P002,5,2000.0,0.05,SR02,R02,9499.99999254942
S00011,2021-04-11,C003,P004,4,78.3,0.05,SR01,R03,297.540011363327
S00012,2023-05-23,C001,P004,3,92.37,0.15,SR01,R02,235.54350535208
S00013,2020-11-26,C004,P004,6,93.99,0.15,SR02,R01,479.34898574388
S00014,2024-01-22,C004,P004,8,63.67,0.05,SR03,R03,483.891985704482
S00015,2020-03-28,C004,P003,4,53.17,0.15,SR01,R03,180.777992506743
S00016,2023-10-28,C004,P003,9,22.77,0.1,SR03,R02,184.437003402516
S00017,2023-01-28,C002,P002,6,81.35,0.0,SR03,R03,488.099990844727
S00018,2022-05-21,C002,P001,5,95.08,0.15,SR03,R03,404.090004948378
S00019,2024-08-14,C003,P004,3,90.05,0.1,SR03,R01,243.135007837191
S00020,2020-05-10,C002,P002,5,77.66,0.15,SR01,R03,330.055013249516
S00021,2024-08-12,C001,P002,5,10.41,0.1,SR01,R03,46.8449992357939
S00022,2023-08-25,C001,P002,4,46.7,0.05,SR02,R03,177.460002759993
S00023,2022-02-08,C004,P004,6,46.96,0.0,SR01,R03,281.759994506836
S00024,2020-12-09,C001,P004,3,90.49,0.15,SR02,R02,230.749492934525
S00025,2024-02-24,C003,P002,1,15.91,0.1,SR03,R03,14.3189998389632
S00026,2023-12-08,C002,P004,7,57.81,0.1,SR02,R01,364.203008048728
S00027,2022-03-16,C002,P002,7,22.25,0.05,SR02,R02,147.962499883957
S00028,2021-01-20,C002,P003,4,69.61,0.0,SR01,R03,278.440002441406
S00029,2023-04-30,C001,P004,9,81.3,0.0,SR02,R02,731.70002746582
S00030,2022-08-13,C002,P003,2,67.78,0.0,SR03,R03,135.559997558594
S00031,2020-10-03,C004,P001,1,81.51,0.1,SR01,R03,73.3590018011481
S00032,2023-03-30,C004,P004,3,64.67,0.15,SR01,R02,164.908494174421
S00033,2021-04-04,C004,P001,7,27.09,0.15,SR01,R02,161.185499777615
S00034,2023-08-30,C001,P002,9,44.44,0.05,SR03,R02,379.961987960368
S00035,2020-01-22,C002,P004,2,96.12,0.0,SR02,R02,192.240005493164
S00036,2020-09-09,C001,P004,6,35.94,0.15,SR01,R01,183.293991710901
S00037,2022-01-17,C002,P004,3,15.66,0.1,SR02,R02,42.281999518007
S00038,2022-05-06,C003,P001,5,44.63,0.1,SR03,R01,200.835004473999
S00039,2024-05-03,C003,P001,9,42.97,0.0,SR03,R03,386.730010986328
S00040,2021-04-19,C001,P002,3,52.33,0.05,SR03,R03,149.140505101539
S00041,2022-12-18,C004,P003,1,60.43,0.05,SR01,R02,57.4085002448931
S00042,2021-05-25,C001,P003,5,99.32,0.0,SR01,R03,496.599998474121
S00043,2024-09-01,C004,P001,1,78.06,0.1,SR02,R01,70.2539976864159
S00044,2024-02-08,C002,P004,8,13.23,0.05,SR02,R01,100.547996442139
S00045,2021-11-30,C004,P003,7,74.14,0.1,SR01,R02,467.081995381445
S00046,2022-09-02,C004,P003,2,84.18,0.1,SR03,R02,151.52400029844
S00047,2024-12-11,C002,P001,9,90.61,0.15,SR03,R02,693.16649980849
S00048,2020-07-08,C003,P002,5,48.16,0.05,SR01,R01,228.759999095798
S00049,2022-08-15,C002,P001,7,38.23,0.1,SR02,R02,240.848996717319
S00050,2021-11-17,C001,P001,4,85.54,0.15,SR03,R01,290.83600107336
S00051,2022-08-15,C001,P004,1,79.99,0.1,SR01,R01,71.9909979581982
S00052,2021-07-16,C001,P001,8,58.24,0.0,SR02,R03,465.920013427734
S00053,2024-05-09,C001,P004,1,20.61,0.05,SR02,R03,19.5795005644783
S00054,2023-06-21,C001,P002,3,68.66,0.1,SR03,R02,185.382009580761
S00055,2022-04-11,C003,P004,6,15.91,0.05,SR03,R02,90.6869990591258
S00056,2024-03-08,C003,P002,8,19.03,0.15,SR03,R02,129.404003761768
S00057,2023-02-28,C004,P002,8,39.8,0.05,SR03,R02,302.479993964434
S00058,2024-02-17,C001,P002,2,43.41,0.1,SR02,R01,78.1379995959699
S00059,2021-10-08,C002,P001,9,51.58,0.05,SR01,R02,441.009015309647
S00060,2020-01-21,C001,P004,4,40.52,0.0,SR02,R03,162.080001831055
S00061,2022-04-20,C003,P003,4,13.04,0.0,SR03,R02,52.1599998474121
S00062,2020-06-15,C001,P001,2,24.17,0.15,SR01,R01,41.0889998415709
S00063,2023-07-21,C003,P002,1,20.36,0.1,SR02,R03,18.3240005189776
S00064,2021-01-22,C004,P003,7,48.81,0.05,SR01,R03,324.586508877821
S00065,2021-08-23,C004,P001,3,29.09,0.15,SR02,R02,74.1794998689294
S00066,2020-11-11,C004,P003,4,36.42,0.15,SR01,R03,123.827992906094
S00067,2020-01-14,C003,P002,9,52.44,0.1,SR02,R03,424.763988173068
S00068,2020-08-29,C001,P003,6,31.2,0.05,SR02,R02,177.84000420928
S00069,2022-02-15,C001,P003,1,32.13,0.15,SR03,R02,27.3105007163882
S00070,2023-10-01,C002,P002,9,84.98,0.15,SR02,R01,650.097021121859
S00071,2021-07-18,C003,P003,9,59.33,0.1,SR03,R03,480.573014035866
S00072,2022-06-16,C002,P001,5,87.11,0.1,SR02,R02,391.995002097562
S00073,2023-09-25,C004,P003,8,56.31,0.15,SR01,R03,382.908006653309
S00074,2020-04-01,C001,P004,7,91.83,0.05,SR01,R02,610.669511697583
S00075,2023-10-22,C003,P001,8,32.93,0.15,SR03,R01,223.924000504971
S00076,2022-08-13,C002,P003,9,65.5,0.0,SR02,R02,589.5
S00077,2024-01-18,C002,P004,2,55.29,0.1,SR03,R02,99.5220014831722
S00078,2023-12-22,C002,P004,5,92.68,0.0,SR01,R01,463.400001525879
S00079,2021-05-23,C001,P004,8,47.66,0.05,SR02,R02,362.215998556256
S00080,2022-02-14,C001,P003,3,86.93,0.1,SR03,R01,234.711000435367
S00081,2020-02-04,C001,P002,6,60.75,0.05,SR01,R03,346.274999728426
S00082,2020-07-24,C003,P004,6,73.77,0.0,SR01,R03,442.619979858398
S00083,2023-01-09,C001,P002,7,89.82,0.05,SR02,R03,597.302997502133
S00084,2024-05-04,C003,P001,3,99.72,0.1,SR02,R02,269.244002850115
S00085,2023-11-12,C002,P002,8,75.8,0.0,SR02,R01,606.400024414062
S00086,2022-10-22,C002,P002,8,38.31,0.1,SR03,R02,275.832009431005
S00087,2022-10-18,C004,P002,9,36.91,0.0,SR03,R02,332.189998626709
S00088,2023-11-14,C001,P002,8,37.82,0.15,SR02,R02,257.175996121407
S00089,2021-07-19,C002,P002,3,18.81,0.05,SR02,R01,53.6084984358922
S00090,2023-02-03,C001,P001,6,14.82,0.05,SR02,R02,84.4739981942475
S00091,2024-11-30,C003,P001,9,62.28,0.1,SR01,R02,504.467989277065
S00092,2024-02-09,C002,P002,1,82.95,0.15,SR02,R01,70.5074969115853
S00093,2021-12-03,C001,P002,3,13.25,0.1,SR03,R01,35.7749999407679
S00094,2021-02-05,C002,P004,2,61.0,0.1,SR01,R03,109.799999818206
S00095,2021-12-30,C002,P001,8,43.46,0.0,SR02,R01,347.679992675781
S00096,2024-04-28,C001,P003,6,90.32,0.15,SR03,R03,460.631995213509
S00097,2020-06-10,C002,P001,8,23.08,0.0,SR01,R03,184.639999389648
S00098,2020-07-20,C002,P003,2,60.71,0.1,SR01,R02,109.277998171121
S00099,2022-09-22,C002,P004,6,97.38,0.0,SR03,R02,584.279983520508
S00100,2020-09-26,C002,P002,7,41.05,0.0,SR03,R02,287.349994659424
S00101,2022-03-26,C003,P004,8,76.76,0.05,SR01,R02,583.376015777826
S00102,2023-07-18,C002,P002,9,89.42,0.15,SR03,R02,684.062981195569
S00103,2021-03-31,C004,P001,5,26.76,0.05,SR01,R02,127.1100009875
S00104,2024-01-25,C002,P002,3,99.33,0.15,SR01,R02,253.291502893031
S00105,2024-10-16,C001,P003,2,82.84,0.05,SR01,R03,157.395992918551
S00106,2023-06-29,C004,P003,8,22.38,0.1,SR01,R03,161.135993690729
S00107,2022-10-13,C003,P004,1,37.98,0.05,SR02,R02,36.0809995368272
S00108,2024-09-21,C004,P001,6,66.25,0.15,SR03,R02,337.874997630715
S00109,2020-10-22,C004,P003,2,89.64,0.15,SR02,R03,152.38799789381
S00110,2024-10-14,C004,P004,3,27.54,0.15,SR02,R03,70.2270018421411
S00111,2021-12-20,C001,P001,8,75.81,0.05,SR02,R01,576.15598099345
S00112,2024-11-07,C001,P001,1,34.36,0.0,SR02,R01,34.3600006103516
S00113,2020-12-03,C001,P004,6,82.49,0.05,SR01,R02,470.192987454727
S00114,2022-05-28,C003,P003,3,71.51,0.0,SR01,R02,214.530006408691
S00115,2022-12-12,C001,P003,6,57.06,0.05,SR01,R02,325.242007572681
S00116,2022-03-02,C001,P004,3,68.49,0.1,SR01,R03,184.922993926004
S00117,2020-08-04,C004,P003,8,88.88,0.1,SR02,R02,639.935979165077
S00118,2022-02-02,C001,P004,5,44.78,0.05,SR01,R02,212.704994034842
S00119,2020-07-06,C002,P003,4,79.23,0.05,SR02,R02,301.074012520224
